Gene898	CNGB1
Gene899	CNGB3
Gene900	CNIH4
Gene901	CNKSR3
Gene902	CNMD
Gene903	CNNM1
Gene904	CNNM3
Gene905	CNOT1
Gene906	CNP
Gene907	CNR1
Gene908	CNR2
Gene909	CNRIP1
Gene910	CNST
Gene911	CNTF
Gene912	CNTLN
Gene913	CNTN2
Gene914	CNTN6
Gene915	CNTNAP1
Gene916	CNTNAP3
Gene917	CNTNAP4
Gene918	CNTROB
Gene919	COASY
Gene920	COBLL1
Gene921	COCH
Gene922	COIL
Gene923	COL10A1
Gene924	COL11A1
Gene925	COL17A1
Gene926	COL18A1
Gene927	COL23A1
Gene928	COL25A1
Gene929	COL2A1
Gene930	COL4A1
Gene931	COL4A2
Gene932	COL4A3
Gene933	COL4A4
Gene934	COL4A5
Gene935	COL5A1
Gene936	COL5A2
Gene937	COL7A1
Gene938	COLEC12
Gene939	COLQ
Gene940	COMP
Gene941	COMT
Gene942	COPS5
Gene943	COQ8A
Gene944	CORIN
Gene945	CORO1B
Gene946	CORO1C
Gene947	CORT
Gene948	CP
Gene949	CPA4
Gene950	CPA5
Gene951	CPA6
Gene952	CPB2
Gene953	CPEB1
Gene954	CPEB2
Gene955	CPEB3
Gene956	CPLX3
Gene957	CPNE9
Gene958	CPS1
Gene959	CPSF6
Gene960	CPT1A
Gene961	CPVL
Gene962	CPXM2
Gene963	CPZ
Gene964	CR1
Gene965	CR2
Gene966	CRB2
Gene967	CREB1
Gene968	CREB3
Gene969	CREB5
Gene970	CREBBP
Gene971	CREG1
Gene972	CREG2
Gene973	CRH
Gene974	CRHR1
Gene975	CRHR2
Gene976	CRIPT
Gene977	CRK
Gene978	CRKL
Gene979	CRNDE
Gene980	CRNN
Gene981	CRTAC1
Gene982	CRTAM
Gene983	CRY2
Gene984	CRYAA
Gene985	CRYBB3
Gene986	CRYBG1
Gene987	CRYBG3
Gene988	CRYGC
Gene989	CRYGS
Gene990	CRYZ
Gene991	CRYZL1
Gene992	CSE1L
Gene993	CSF1
Gene994	CSF1R
Gene995	CSF2
Gene996	CSF2RA
Gene997	CSF2RB
Gene998	CSF3
